,x,y,z,vx,vy,vz,phi,theta,psi,wx,wy,wz,a1,a2,a3,a4,r
7.3,1.1186676746859747,3.1036146237949875,4.994780728872295,-0.030806193875418903,-0.006660591883644112,0.0002110101332455867,-0.006185824035951641,-0.004717218137370311,1.0491663617743767,0.021418165355285512,0.06889586384083032,0.00015008006298352568,14473.597581218593,14483.121345759479,14478.67358306465,14469.291772052511,-26.84211417119089
7.3999999999999995,1.115299982801644,3.1028716530689597,4.994803451586733,-0.03520742865954543,-0.008403314205927348,0.0002465249291973857,0.0007194863635888307,-0.002635568618947896,1.049153364935065,0.011217781732912248,0.0678611377358241,0.00010084652753767402,14468.947662404044,14472.047982475939,14483.428884907978,14480.229494104358,-26.83016116386552
7.5,1.1118421282116557,3.1018866247693886,4.994829943200327,-0.03305884888094083,-0.011272909387886549,0.00027651214543300025,0.006066796525700762,-0.00016871380622303077,1.0491514861815805,-0.00010196349976005994,0.04782639133218605,2.621511796411471e-05,14467.077042796733,14464.245134869998,14485.013168418835,14487.740371367163,-26.816559826079374
7.6,1.108864771854507,3.1006039502450693,4.994857379510272,-0.02621210288084284,-0.014182306556249516,0.0002660619889613938,0.008653487729626014,0.0019069447261589277,1.0491536213013375,-0.009130433037421604,0.01823881723501258,-1.056836122132111e-05,14468.058910475731,14461.336734667784,14483.69721502508,14490.447979635395,-26.80221142116295
7.7,1.10669500068022,3.099068321273636,4.994882259004382,-0.01748012151779719,-0.016250978395036877,0.00023208445240602673,0.008296637783635423,0.003081151793861905,1.0491515780727898,-0.013777437349592414,-0.010627789296371856,-1.6286302045243458e-06,14471.137204929339,14463.202248034308,14480.514242014917,14488.564833367287,-26.78808254776034
7.8,1.1053722191081545,3.0973920234587737,4.994904060252944,-0.009649831064166756,-0.01701183871806261,0.00020872646874403174,0.005682478250927541,0.0032009778593641747,1.0491440440582738,-0.013606037090566705,-0.030746586834755105,1.751253700528952e-05,14475.015611159957,14468.324465361442,14476.731038183396,14483.50853535128,-26.774943540387586
7.8999999999999995,1.1046941908655536,3.0957097204561785,4.994924777159761,-0.004699257309230722,-0.016460454781072918,0.00020899712816486546,0.001999098112880721,0.002442604315075772,1.04913536821579,-0.00962631176268611,-0.038170038658295456,1.6506650538735732e-05,14478.37344465845,14474.554017734616,14473.467798805352,14477.295612195576,-26.763191903823937
8.0,1.1043222380317559,3.0941359409865705,4.994946244914244,-0.0033992951426423867,-0.014964146572472173,0.00021998145631651388,-0.0014997442647542343,0.0011953608297667268,1.049129542744299,-0.0037189831607646984,-0.03332875584726442,-3.4577840056635407e-06,14480.319662016707,14479.891363041777,14471.493304533586,14471.893486873752,-26.752800326470734
8.1,1.1039040788422165,3.0927367085461803,4.99496855775241,-0.005335984727819815,-0.013084383031959808,0.00022409368578029483,-0.003861964647965087,-9.110735982023998e-05,1.0491266958480383,0.002066984099902175,-0.02003325330088868,-2.236253335412995e-05,14480.590217266872,14483.018773971726,14471.114298505803,14468.68107081006,-26.743398341103912
8.2,1.1031760638786579,3.091520501788207,4.994990671464909,-0.009263392900662543,-0.011379733091586774,0.0002170919437344154,-0.0046461406798450535,-0.001045986329342985,1.0491244335651742,0.0061240556736886324,-0.003725996316583473,-2.7138849556321244e-05,14479.471832883588,14483.507899710592,14472.152506761064,14468.149664147204,-26.734446905983265
8.3,1.1020200009450063,3.090447246724217,4.99501184245331,-0.013621525049411805,-0.010248913311673881,0.0002071237792351808,-0.003944840985985777,-0.0014664032703521762,1.049121007074023,0.007652034976765533,0.010380499598250267,-2.1663868747839206e-05,14477.572513122854,14481.745877653033,14474.048517827505,14469.91677488215,-26.725431888610306
8.4,1.1004675332292273,3.089449208505787,4.995032254751258,-0.017040077365590482,-0.009850210481911767,0.00020251003595417793,-0.0022523163835467376,-0.001341274589879737,1.0491166780062222,0.006723674143929585,0.018733958273400134,-1.7268543295575728e-05,14475.573418303098,14478.66763438522,14476.085000373216,14473.010078503285,-26.71600792013157
8.5,1.0986612592441696,3.0884555222435868,4.995052540514147,-0.01868835074977024,-0.010104711075503408,0.0002037787339597182,-0.00024473392598806917,-0.000816037602258101,1.0491126658896728,0.004089797763573885,0.020118123547391134,-1.9629108415350185e-05,14474.0391136558,14475.39471204565,14477.639733854681,14476.278386208156,-26.706058876909424
8.6,1.0967922062037592,3.087412724431164,4.9950730443988585,-0.018402745990950105,-0.010765750912039579,0.00020590736696875537,0.0014472744645044372,-0.0001201189256621349,1.0491095620317228,0.0008322626867346956,0.015530434167463351,-2.56407268659409e-05,14473.302313395794,14472.89023369996,14478.361501050196,14478.76117421134,-26.695679104651134
8.7,1.0950360650931967,3.086296292891923,4.995093617640426,-0.016600059723499046,-0.011521834854283002,0.00020500200769816432,0.002407842848756521,0.0005147810140877965,1.049106915373971,-0.002006653127965608,0.007458457414178693,-2.961166956903536e-05,14473.418492013003,14471.714900086925,14478.21766475639,14479.917905979175,-26.68510180508449
8.8,1.093506476182455,3.085111731951874,4.99511394762239,-0.014043875475773605,-0.01209733993145994,0.000201540390829158,0.0025107062163101978,0.0009206577951859298,1.0491039748123516,-0.0037100717094769374,-0.00112026938900868,-2.9610572882282017e-05,14474.193746579956,14471.940046756044,14477.429181804615,14479.689021998456,-26.674606266567018
